epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5511,1.04713,4.5814,1.55484,0.01596,0.56198,0.0429,0.0285,1.2358,3.6195,1.92207,0.00331956,0.00331956,0.00331956
2,63.1336,1.06923,4.07722,1.52787,0.33966,0.10028,0.06071,0.03501,1.43072,3.4399,2.16844,0.00663972,0.00663972,0.00663972
3,93.4259,1.1366,3.64241,1.57175,0.31389,0.15835,0.08215,0.04817,1.55169,4.07765,2.29681,0.00994668,0.00994668,0.00994668
4,123.22,1.16636,3.44158,1.58937,0.21446,0.12131,0.06099,0.03524,1.75377,4.21796,2.50245,0.0099406,0.0099406,0.0099406
5,152.81,1.12762,3.2086,1.54921,0.287,0.21389,0.12031,0.08504,1.455,3.02676,2.16868,0.0099208,0.0099208,0.0099208
6,182.505,1.11501,3.01762,1.53344,0.32871,0.23847,0.17435,0.12254,1.42176,2.77527,2.04696,0.009901,0.009901,0.009901
7,212.004,1.08585,2.85495,1.50255,0.25128,0.33761,0.20633,0.1433,1.23888,2.52866,1.84532,0.0098812,0.0098812,0.0098812
8,241.618,1.0652,2.70626,1.4985,0.30215,0.34487,0.20794,0.15116,1.2722,2.47339,1.91194,0.0098614,0.0098614,0.0098614
9,271.188,1.06844,2.62123,1.46959,0.25928,0.3935,0.27726,0.19992,1.22198,2.33562,1.77242,0.0098416,0.0098416,0.0098416
10,300.635,1.04445,2.49644,1.46632,0.26796,0.44364,0.25437,0.1792,1.18072,2.38826,1.74837,0.0098218,0.0098218,0.0098218
11,330.391,1.04238,2.43719,1.45284,0.35192,0.45226,0.3225,0.22522,1.16883,2.1055,1.69143,0.009802,0.009802,0.009802
12,359.771,1.02429,2.35754,1.44814,0.34236,0.36777,0.32164,0.23335,1.10954,2.15879,1.61244,0.0097822,0.0097822,0.0097822
13,389.176,1.0092,2.30823,1.42505,0.31737,0.46936,0.33656,0.24187,1.17494,2.12927,1.68486,0.0097624,0.0097624,0.0097624
14,419.011,1.01189,2.26742,1.43192,0.31892,0.43455,0.34409,0.24557,1.16004,2.11152,1.68461,0.0097426,0.0097426,0.0097426
15,448.644,0.98837,2.20032,1.41305,0.33424,0.54354,0.38521,0.27933,1.19023,2.06731,1.74421,0.0097228,0.0097228,0.0097228
16,478.098,0.97639,2.16285,1.40561,0.35731,0.58235,0.45972,0.34288,1.07518,1.84974,1.57043,0.009703,0.009703,0.009703
17,507.539,0.97217,2.13373,1.40796,0.43132,0.42714,0.43375,0.31114,1.12562,1.9664,1.63012,0.0096832,0.0096832,0.0096832
18,537.096,0.96215,2.09614,1.39172,0.34472,0.49858,0.4014,0.28959,1.10601,2.03687,1.64671,0.0096634,0.0096634,0.0096634
19,566.589,0.94942,2.06056,1.3761,0.35436,0.59408,0.47532,0.3396,1.09985,1.72595,1.61632,0.0096436,0.0096436,0.0096436
20,595.889,0.93875,2.01139,1.37028,0.40271,0.56477,0.48357,0.35197,1.12507,1.80223,1.63027,0.0096238,0.0096238,0.0096238
21,625.324,0.94527,1.99718,1.36935,0.41555,0.63254,0.52717,0.38354,1.06525,1.779,1.54432,0.009604,0.009604,0.009604
22,654.638,0.94119,1.95967,1.37294,0.32268,0.57431,0.47918,0.33778,1.08589,1.94217,1.56985,0.0095842,0.0095842,0.0095842
23,683.867,0.93061,1.93979,1.35659,0.41823,0.63142,0.53409,0.39039,1.05821,1.6119,1.54125,0.0095644,0.0095644,0.0095644
